count,date,close,ma200,deviation,average,sigma
2164,2019-06-20,1.1295605897903442,1.1358451467752457,0.9944670653365524,0.9898009232400756,0.04219760226667231
2165,2019-06-23,1.1384724378585815,1.1356916069984435,1.0024485792119988,0.9898073564323301,0.042187832896255426
2166,2019-06-24,1.140029788017273,1.1355772614479065,1.0039209367081632,0.9898145316129481,0.04217830750591562
2167,2019-06-25,1.1369967460632324,1.135427666902542,1.0013819278906342,0.9898204093549591,0.04216839588343233
2168,2019-06-26,1.1374752521514893,1.135275081396103,1.0019380067363768,0.9898265635435733,0.042158570455726005
2169,2019-06-27,1.1372941732406616,1.135124249458313,1.0019116178545073,0.989832698088909,0.04214874797589669
2170,2019-06-30,1.1364928483963013,1.1349187499284745,1.0013869701843643,0.9898385602259436,0.04213885767990525
2171,2019-07-01,1.1287446022033691,1.1346869629621505,0.9947629954756256,0.989841057404062,0.04212831790599995
2172,2019-07-02,1.1293054819107056,1.134457013607025,0.9954590331457865,0.989843904832213,0.04211783015386497
2173,2019-07-03,1.1287955045700073,1.1342193990945817,0.9952179494294454,0.9898466272458896,0.04210733429851624
2174,2019-07-04,1.128579020500183,1.1339880269765854,0.995230102657412,0.9898493530562245,0.042096847068816626
2175,2019-07-07,1.1227376461029053,1.133783025741577,0.990257942315332,0.9898495598321652,0.042086194687820204
2176,2019-07-08,1.121604323387146,1.1335883617401123,0.9894282274258971,0.9898493467151159,0.04207555045386868
2177,2019-07-09,1.120824933052063,1.133403707742691,0.9889017703006459,0.9898488676572725,0.04206491861996405
2178,2019-07-10,1.125885248184204,1.1332572609186173,0.9934948462377929,0.9898507099910676,0.04205436927719494
2179,2019-07-11,1.1252391338348389,1.1331453001499177,0.9930228133020251,0.9898523120634469,0.042043808551508494
2180,2019-07-14,1.1272051334381104,1.133022283911705,0.9948658110646234,0.9898548428554717,0.04203334630141997
2181,2019-07-15,1.1261768341064453,1.1328918701410293,0.9940726593494328,0.9898569709162658,0.042022847935622845
2182,2019-07-16,1.1212271451950073,1.132750945687294,0.9898267129803237,0.989856955657599,0.042012250828870855
2183,2019-07-17,1.12296462059021,1.132612293958664,0.9914819277347469,0.9898577746959444,0.04200167756516892
2184,2019-07-18,1.1261515617370605,1.132476371526718,0.9944150624695763,0.9898600705588027,0.04199122098660832
2185,2019-07-21,1.1218308210372925,1.1322903054952622,0.990762541719904,0.9898605249752988,0.041980652729487034
2186,2019-07-22,1.1206114292144775,1.1321176898479461,0.9898365154642058,0.9898605128920016,0.04197008757542436
2187,2019-07-23,1.1151255369186401,1.1319015884399415,0.9851788780114504,0.9898581579448786,0.041959661700937644
2188,2019-07-24,1.1142433881759644,1.1316851657629012,0.9845877827910037,0.9898555081836148,0.04194927881625532
2189,2019-07-25,1.1146159172058105,1.1315078139305115,0.9850713388659477,0.9898531040784301,0.04193887452723978
2190,2019-07-28,1.1132138967514038,1.1313438814878465,0.9839748240715284,0.98985015165251,0.0419285479493144
2191,2019-07-29,1.1143054962158203,1.131160675883293,0.9850992170901707,0.9898477666451997,0.041918157483005064
2192,2019-07-30,1.1157974004745483,1.1310057175159454,0.9865532801418552,0.9898461136163471,0.041907704759080594
2193,2019-07-31,1.1071745157241821,1.1308050137758254,0.9791029419185721,0.9898407258672508,0.04189788539401997
2194,2019-08-01,1.1078859567642212,1.1306448143720627,0.9798709043560411,0.9898357284629846,0.04188797778067374
2195,2019-08-04,1.1108025312423706,1.1305098974704741,0.9825677189804363,0.9898320871756685,0.041877799306384106
2196,2019-08-05,1.1243788003921509,1.1304324221611024,0.9946448618685418,0.9898344971780184,0.04186745126479676
2197,2019-08-06,1.1206992864608765,1.1303478306531907,0.9914640927945705,0.9898353127914401,0.04185698848230966
2198,2019-08-07,1.1204355955123901,1.1302768296003343,0.9912930763241214,0.9898360420378296,0.041846530386422824
2199,2019-08-08,1.1187183856964111,1.1302120727300644,0.9898305041054022,0.9898360392688632,0.04183606744597827
2200,2019-08-11,1.1208499670028687,1.1301146781444549,0.991801972560167,0.9898370217442714,0.04182563542776236
2201,2019-08-12,1.1218308210372925,1.1300250470638276,0.9927486332733718,0.9898384760956844,0.041815238768371246
2202,2019-08-13,1.1177055835723877,1.1299071156978606,0.9892012963225416,0.9898381579829668,0.041804801735860105
2203,2019-08-14,1.1143302917480469,1.1297595137357712,0.9863429147529773,0.9898364138496185,0.04179444298865468
2204,2019-08-15,1.1113580465316772,1.1295992743968963,0.9838515938539725,0.9898334289019899,0.04178423279764929
2205,2019-08-18,1.109385371208191,1.129461993575096,0.9822246144791854,0.989829635873863,0.04177416194902036
2206,2019-08-19,1.1083157062530518,1.1293410581350327,0.9813826374853477,0.9898254271053585,0.04176417894831017
2207,2019-08-20,1.1097793579101562,1.1292732399702072,0.9827376746653756,0.9898218973481672,0.041754077646209954
2208,2019-08-21,1.10907781124115,1.1291630321741104,0.9822122932112929,0.989818109591006,0.04174402966479179
2209,2019-08-22,1.1084016561508179,1.1290491235256195,0.9817125163603804,0.989814076957558,0.04173403570240101
2210,2019-08-25,1.1143054962158203,1.1289582014083863,0.9870210383570565,0.9898126880771004,0.04172370443724081
2211,2019-08-26,1.1103708744049072,1.1288030749559403,0.983671022023259,0.9898096355591808,0.04171355904129831
2212,2019-08-27,1.109004020690918,1.1286205869913102,0.9826189894757402,0.9898060634548175,0.0417035045159753
2213,2019-08-28,1.1085859537124634,1.1284773045778274,0.9823732823117737,0.9898023728981428,0.04169347862764156
2214,2019-08-29,1.1061947345733643,1.128314101099968,0.9803960913853331,0.9897977047683598,0.041683658011456674
2215,2019-09-01,1.0991789102554321,1.1281084161996842,0.9743557396356386,0.9897900450634327,0.0416747369364052
2216,2019-09-02,1.0968520641326904,1.127923999428749,0.9724521019928688,0.9897814491571013,0.04166619237982329
2217,2019-09-03,1.0974539518356323,1.1277445840835572,0.9731405207567102,0.9897732029091328,0.04165751374600428
2218,2019-09-04,1.10349702835083,1.127612670660019,0.9786135408578964,0.9897676755876611,0.0416479362645455
2219,2019-09-05,1.1036310195922852,1.1274465531110764,0.97887657427922,0.98976228395335,0.041638330879707565
2220,2019-09-08,1.1020619869232178,1.127260479927063,0.9776462552776839,0.9897562888872067,0.04162890019219824
2221,2019-09-09,1.1048381328582764,1.1271135503053664,0.9802367583629396,0.9897515809096972,0.04161914309212305
2222,2019-10-07,1.0972130298614502,1.1269221848249436,0.9736369064665202,0.9897436151783855,0.041610397060643664
2223,2019-10-09,1.0987803936004639,1.1267446446418763,0.9751813765662045,0.9897364203964626,0.04160137517805577
2224,2019-10-10,1.1011033058166504,1.126575629711151,0.9773896015298753,0.9897303232019604,0.04159200652111827
2225,2019-10-13,1.1030004024505615,1.1264032554626464,0.9792233794614943,0.9897251371487815,0.04158239557361587
