count,date,close,ma200,deviation,average,sigma
839,2014-08-21,102.62999725341797,108.42524997711182,0.946550709129864,0.9958981124640756,0.05034828351065929
840,2014-08-22,102.29000091552734,108.40204998016357,0.9436168498127603,0.9958165504318582,0.0503512908125335
841,2014-08-25,102.6500015258789,108.3672499847412,0.9472419161723923,0.9957408890077781,0.05034851533488842
842,2014-08-26,102.5,108.33469997406006,0.9461419104362948,0.9956637521826283,0.050347299220910455
843,2014-08-27,102.72000122070312,108.29899997711182,0.9484852237085497,0.9955904935980411,0.050342480083100834
844,2014-08-28,102.45999908447266,108.26709999084473,0.9463631989139533,0.9955141722109339,0.05034071237923181
845,2014-08-29,103.19000244140625,108.25349998474121,0.9532255535012847,0.9954487099528693,0.050329200822383666
846,2014-09-02,100.33999633789062,108.224049949646,0.9271506322723679,0.9953431487818021,0.050361809946307574
847,2014-09-03,102.7699966430664,108.21124992370605,0.9497163808340078,0.9952727371028702,0.05035479658407115
848,2014-09-04,101.83000183105469,108.19419994354249,0.9411780103202506,0.9951893862141451,0.05036070385654158
849,2014-09-05,100.81999969482422,108.18099994659424,0.9319566258825124,0.995092105044404,0.05038293897024185
850,2014-09-08,100.19999694824219,108.15639991760254,0.9264361334565331,0.9949866427224564,0.05041597704035721
851,2014-09-09,99.16000366210938,108.1201999282837,0.917127453777207,0.9948672267884913,0.05046935394031118
852,2014-09-10,98.04000091552734,108.08134994506835,0.9070945261634458,0.9947328122392951,0.05054735255214889
853,2014-09-11,98.08000183105469,108.03614994049072,0.9078442899444292,0.9945999551715662,0.050622664609895285
854,2014-09-12,97.11000061035156,107.97899993896485,0.8993415447933674,0.9944545224839656,0.05072055065808417
855,2014-09-15,96.6500015258789,107.91949993133545,0.895574957142807,0.9943037914392384,0.05082847776881851
856,2014-09-16,96.62999725341797,107.8680499267578,0.8958166697092378,0.9941538871443676,0.0509346935169725
857,2014-09-17,98.97000122070312,107.82259994506836,0.9178966308651868,0.994037994657621,0.050982589627634675
858,2014-09-18,97.69999694824219,107.7606999206543,0.9066384778512022,0.9939053702011621,0.05105735964966667
859,2014-09-19,98.38999938964844,107.69739990234375,0.9135782245334155,0.9937836624046958,0.05111424285611844
860,2014-09-22,96.97000122070312,107.62724990844727,0.9009800148493091,0.9936432635430386,0.05120276400341967
861,2014-09-23,96.8499984741211,107.55709991455078,0.9004519325182997,0.9935024911396778,0.051291926125382754
862,2014-09-24,96.94999694824219,107.48529991149903,0.9019837785080251,0.9933644538657235,0.051376137532878646
863,2014-09-25,97.0,107.41304992675781,0.9030560073114189,0.9932284471691055,0.051456743013515285
864,2014-09-26,97.0,107.3349499130249,0.9037130969791344,0.9930938376199477,0.05153490326017755
865,2014-09-29,97.19999694824219,107.26154991149902,0.9061960882389023,0.9929633605187749,0.051606003905179595
